college_no,college_name,no_degree_programs
6,CEM,3
1,CAS,1
6,CEM,5
5,CEM,1
5,CEM,4
9,CEM,2
7,CEM,1
7,CAS,2
7,CAS,4
7,CEM,4
8,CAS,4
10,CEM,2
1,CEM,4
9,CEM,4
2,CA,2
1,CEM,2
6,CAS,3
11,CAS,2
4,CAS,4
8,CEM,2
3,CEM,1
1,CEM,5
8,CEM,1
7,CAS,2
1,CEM,2
1,CAS,5
4,CEM,5
9,CA,5
11,CEM,4
6,CAS,3
9,CEM,4
11,CAS,5
9,CAS,4
8,CEM,2
1,CEM,2
6,CEM,2
3,CAS,5
10,CEM,5
8,CA,1
11,CA,1
11,CEM,3
8,CEM,2
10,CEM,2
2,CEM,2
6,CEM,4
1,CEM,3
1,CAS,1
1,CAS,1
11,CAS,4
7,CEM,4
5,CEM,5
5,CEM,4
7,CEM,5
8,CEM,4
5,CAS,4
9,CEM,1
2,CEM,4
9,CEM,2
4,CAS,2
8,CAS,2
11,CAS,1
9,CA,3
3,CAS,4
10,CAS,2
8,CEM,5
11,CEM,5
7,CEM,4
2,CAS,1
11,CAS,1
7,CEM,1
7,CEM,4
2,CEM,2
1,CEM,5
1,CA,1
2,CAS,4
11,CEM,3
4,CEM,4
1,CEM,1
4,CA,5
9,CEM,4
6,CEM,1
3,CAS,3
7,CAS,3
2,CEM,1
9,CA,1
8,CEM,2
4,CEM,5
11,CA,1
11,CEM,3
7,CEM,3
7,CAS,4
8,CEM,2
3,CA,2
6,CAS,5
9,CA,3
3,CAS,4
6,CAS,5
2,CEM,4
6,CEM,1
2,CEM,4
10,CEM,2
4,CEM,2
1,CEM,1
9,CAS,1
4,CA,1
8,CAS,4
11,CAS,5
4,CA,2
5,CAS,1
9,CAS,2
11,CEM,5
5,CEM,3
9,CEM,4
5,CAS,4
2,CEM,1
2,CEM,2
3,CA,2
3,CEM,1
10,CEM,5
6,CA,3
10,CEM,4
10,CEM,3
9,CAS,1
3,CEM,2
1,CA,4
8,CA,4
7,CAS,4
11,CEM,1
8,CA,5
2,CAS,2
8,CA,3
8,CEM,3
5,CA,5
9,CEM,2
4,CEM,1
5,CA,1
10,CA,4
1,CEM,3
8,CEM,5
10,CEM,3
8,CEM,5
8,CEM,4
3,CAS,3
2,CEM,5
8,CA,1
8,CA,3
11,CAS,1
10,CA,1
3,CEM,2
1,CAS,4
8,CEM,5
8,CEM,3
3,CAS,4
6,CA,4
2,CAS,1
4,CEM,4
4,CEM,5
6,CA,2
3,CAS,5
7,CAS,5
6,CA,2
8,CEM,4
1,CA,2
5,CA,2
1,CEM,4
1,CAS,2
3,CEM,2
10,CEM,2
11,CEM,4
4,CEM,2
7,CA,5
4,CEM,5
2,CAS,4
1,CA,3
7,CEM,3
