accessno,activity,access_date_time,access_time
4899,Enrollment Shopping Cart,8:18 AM,1/5/2017
545,Enrollment Shopping Cart,5:43 PM,10/16/2014
3968,Enrollment Shopping Cart,3:24 PM,2/11/2014
10880,View Graduation Status,9:17 PM,4/21/2015
9039,Enrollment Shopping Cart,4:06 AM,2/21/2014
2623, View Degree Progress Report,2:23 AM,8/18/2014
12352,Enrollment Shopping Cart,8:03 PM,3/21/2013
11295,View Graduation Status,2:34 PM,12/26/2013
4298,View Graduation Status,9:09 PM,2/3/2012
2451,Enrollment Shopping Cart,11:24 PM,7/5/2012
13394,My Planner,7:32 PM,7/13/2016
2198,Enrollment Shopping Cart,6:31 AM,6/24/2015
1353, View Degree Progress Report,3:57 PM,10/13/2012
14205,Enrollment Shopping Cart,4:02 PM,10/12/2013
1394,My Academic Requirements,5:12 PM,1/27/2012
2724,Enrollment Shopping Cart,2:11 AM,2/5/2012
7110,Enrollment Shopping Cart,7:27 PM,2/19/2015
1847,Enrollment Shopping Cart,4:22 AM,8/19/2012
13559,View Graduation Status,3:23 PM,4/29/2014
12363,My Planner,5:27 PM,7/20/2013
1867,Enrollment Shopping Cart,8:28 PM,12/13/2013
13020,View Graduation Status,1:29 AM,1/9/2017
9216,My Planner,3:29 AM,11/28/2013
1449,View Graduation Status,7:44 AM,10/5/2012
8995,Enrollment Shopping Cart,2:16 PM,5/21/2017
9153,Enrollment Shopping Cart,2:42 PM,2/2/2012
13978, View Degree Progress Report,4:52 PM,8/3/2017
5165,Enrollment Shopping Cart,3:14 AM,1/16/2012
5903,My Academic Requirements,6:16 PM,8/25/2014
5034,Enrollment Shopping Cart,4:39 PM,5/13/2012
13070,Enrollment Shopping Cart,6:06 AM,8/16/2016
9382,My Planner,10:54 AM,3/31/2014
12235,Enrollment Shopping Cart,8:57 PM,3/27/2017
1827, View Degree Progress Report,11:55 PM,4/5/2014
5296,Enrollment Shopping Cart,10:12 PM,5/9/2014
10913,My Planner,1:19 PM,1/30/2014
3986,My Academic Requirements,1:16 AM,11/9/2013
14948,Enrollment Shopping Cart,1:36 AM,3/2/2012
2291,My Academic Requirements,7:44 AM,10/26/2012
4646,Enrollment Shopping Cart,12:44 PM,3/25/2014
14172,My Planner,4:27 PM,9/25/2012
14549,View Graduation Status,10:19 AM,10/28/2015
13093,My Academic Requirements,5:25 PM,4/6/2013
3165,Enrollment Shopping Cart,9:45 PM,2/10/2015
1398,Enrollment Shopping Cart,7:51 PM,9/19/2016
3092,Enrollment Shopping Cart,9:51 AM,7/19/2015
14792,Enrollment Shopping Cart,12:37 PM,4/12/2014
1086,Enrollment Shopping Cart,10:58 AM,12/15/2016
7616,Enrollment Shopping Cart,2:13 PM,8/11/2014
11763,Enrollment Shopping Cart,4:53 AM,3/16/2012
14281,View Graduation Status,8:55 AM,3/8/2013
3831,Enrollment Shopping Cart,10:11 AM,4/15/2016
189,My Planner,12:12 AM,6/28/2013
248,Enrollment Shopping Cart,10:19 PM,7/3/2013
11618,View Graduation Status,6:12 AM,5/5/2014
