subject_no,subject_name,subject_units
A,Discrete Structures in Computer Science,3
B,Principles of Programming,3
C,Computer Systems and Organization,3
D,Data Structures and Algorithms,3
E,Data Communications and Networking,3
F,Database Management Systems,3
G,Introduction to Management Information ,3
0,Systems,3
H,Object-Oriented Analysis and Design,3
I,Principles of Software Engineering,3
J,Programming Languages,3
K,Operating Systems,3
L,Introduction to Computing Theory,3
M,Algorithm Analysis,3
1,Introduction to Personal Computing,3
2,Introduction to the Internet,3
2A,Introduction to the Internet,3
2B,Introduction to the Internet,3
11,Introduction to Computer Science,3
21,Fundamentals of Programming,3
22,Object-Oriented Programming,3
22A,Object Oriented Programming,3
22B,Object Oriented Programming,3
55,Discrete Math Structures in Cmsc,3
56,Discrete Mathematical Structures in ,3
0,Computer Science I,3
57,Discrete Mathematical Structures in ,3
0,Computer Science II,3
100,Web Programming,3
123,Data Structures,3
124,Design and Implementation of Programming ,3
0,Languages,3
125,Operating Systems,3
127,File Processing and Database Systems,3
128,Introduction to Software Engineering,3
129,Principles of Compiler Design,3
130,Logic Design and Digital Computer Circuits,3
131,Introduction to Computer Organization and ,3
0,Machine Level Programming,3
132,Computer Architecture,3
137,Data Communications and Networking,3
140,Advanced Programming,3
141,Automata and Language Theory,3
142,Design and Analysis of Algorithms,3
150,Numerical and Symbolic Computations,3
161,Interactive Computer Graphics,3
165,Digital Image Processing,3
170,Introduction to Artificial Intelligence,3
172,Robot Modeling,3
180,Introduction to Parallel Computing,3
190,Special Problems,1
191,Special Topics,3
191A,Special Topics,3
198,Practicum,1
199,Undergraduate Seminar,1
200,Undergraduate Thesis,3
214,Programming Language Design Concepts,3
215,Advanced Computer Systems,3
220,Computer System Performance Evaluation,3
221,Portability of Systems,3
222,Information Retrieval,3
224,Advanced Programming Languages,3
225,Advanced Operating Systems,3
227,Advanced Database Systems,3
228,Software Engineering,3
229,Compiler Construction,3
231,Advanced Computer Architecture,3
241,"Formal Languages, Automata Theory & Computations",3
242,Complexity of Algorithms,3
243,Combinatorial Algorithms,3
244,Algorithms and Advanced Data Structures I,3
245,Algorithms and Advanced Data Structures II,3
250,Scientific Computing,3
265,Advanced Digital Image Processing,3
271,Management Information Systems,3
272,Strategic Information Systems Development,3
280,Parallel Processing,3
290,Special Problems,3
291,Special Topics,3
299,Graduate Seminar,3
300,Master's Thesis,3
341,Advanced Theory of Computation,3
342,Computational Complexity Theory,3
391,Special Topics,3
399,Graduate Seminar,3
400,Doctoral Dissertation,3
1,Fundamentals of Agricultural and Biosystems ,3
0,Engineering I,3
2,Fundamentals of Agricultural and Biosystems Engineering II,3
11,Agricultural Structures I,3
12,Environmental Control Engineering,3
30,Introduction to Agricultural and Biosystems ,3
0,Engineering,3
31,Engineering Shop,3
40,Machine Design for Bio-Production Systems I,3
41,Agricultural and Biosystems Power Engineering,3
42,Machinery for Bio-Production Systems,3
47,Electrical System Design for Agricultural and ,3
0,Biosystems Structures,3
49,Agricultural Engineering Law,3
50,Refrigeration and Cold Storage,3
51,Crop Processing I,3
70,Fundamentals of Surveying,3
71,Field Hydrology,3
72,ABE 72,3
73,Soil and Water Conservation Engineering,3
81,Aquaculture Engineering I,3
110,Plant Climate,3
111,Agricultural Structures II,3
112,Agricultural Waste Management,3
113,Farmstead Planning,3
114,Spatial Analysis in Hydrometeorology,3
115,Agricultural Structures III,3
131,Tractor-Implement Performance Analysis,3
136,Design of Biomass Energy Systems,3
137,Design of Solar Energy Systems,3
138,Design at Wind and Hydro Energy Systems,3
140,Machine Design for Bio-Production Systems II,3
141,Tractor-Implement Performance Analysis,3
142,Agricultural Mechanization,3
143,Manufacturing Processes,3
145,Soil-Machine Mechanics,3
147,Mechatronics for Agriculture and Biosystems,3
150,Materials Handling,3
151,Crop Processing II,3
152,Crop Processing Plant Design and Management,3
153,Rheology of Biological Materials,3
154,Fuels and Combustion for Applications in ,3
0,Agriculture and Biosystems,3
155,Intermediate Thermodynamics,3
156,Intermediate Refrigeration in Agriculture and ,3
0,Biosystems,3
157,Postharvest Engineering of Perishable Crops,3
172,Irrigation and Drainage Engineering II,3
174,Open Channel Hydraulics,3
175,Water Control Structures,3
177,Principles of Tropical Water Quality Management,3
179,Water Resources Planning,3
180,Soil Engineering,3
181,Aquaculture Engineering II,3
190,Special Problems,3
191,Special Topics,3
199,Undergraduate Seminar,3
200,Undergraduate Thesis,3
200A,Practicum,3
A,Agribusiness Commodity Systems,3
B,Enterprise FormationProj Mgt,3
C,Mgt Sys for Farm Enterprises,3
D,MgtSys fr Proc PlantsServ Ent,3
E,Research Methods in Agribus,3
103,Introduction to Agribusiness Management,3
171,Organization of Small Business,3
180,Agribusiness Research Methodologies,3
190,Special Problems in Agribusiness,3
203,Advanced Agribusiness,3
205,Agribusiness Management,3
241,Agricultural Production Mgt,3
298,Field Studies,3
11,Introduction to Agricultural Biotechnology,3
101,Fundamentals of Agricultural Biotechnology,3
105,Experimental Techniques in Agricultural Biotechnology,3
106,Molecular Markers,3
107,Recombinant DNA Technology,3
108,Issues and Regulation of Agricultural Biotechnology,3
115,Fundamentals of Food Biotechnology,3
120,Animal Biotechnology,3
140,Biotech in Crop Protection,3
